項目名,回数,総ファイル数,登場率,コンテキストIDリスト,コンテキストID数,値のタイプリスト
沿革 [テキストブロック],4042,4042,100,['FilingDateInstant'],1,['文字列']
ストックオプション制度の内容 [テキストブロック],4042,4042,100,['FilingDateInstant'],1,['文字列']
発行済株式総数、資本金等の推移 [テキストブロック],4042,4042,100,['FilingDateInstant'],1,['文字列']
発行済株式、株式の総数等 [テキストブロック],4042,4042,100,['FilingDateInstant'],1,['文字列']
貸借対照表 [テキストブロック],4042,4042,100,['CurrentYearDuration'],1,['文字列']
株主数－金融機関,4042,4042,100,"['CurrentYearInstant_BondTypeClassSharesMember', 'CurrentYearInstant_ClassAPreferredShares2Member', 'CurrentYearInstant_ClassAPreferredSharesMember', 'CurrentYearInstant_ClassASharesMember', 'CurrentYearInstant_ClassAStockMember', 'CurrentYearInstant_ClassBPreferredSharesMember', 'CurrentYearInstant_ClassBSharesMember', 'CurrentYearInstant_ClassCPreferredSharesMember', 'CurrentYearInstant_ClassCSharesMember', 'CurrentYearInstant_ClassDPreferredSharesMember', 'CurrentYearInstant_ClassEPreferredSharesMember', 'CurrentYearInstant_ClassFPreferredSharesMember', 'CurrentYearInstant_ClassOnePreferredShareMember', 'CurrentYearInstant_ClassOnePreferredSharesMember', 'CurrentYearInstant_ClassTwoPreferredSharesMember', 'CurrentYearInstant_FirstIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_FirstSeriesOfFirstClassPreferredSharesMember', 'CurrentYearInstant_FourthClassPreferredStockMember', 'CurrentYearInstant_KClassifiedStockMember', 'CurrentYearInstant_OrdinaryShareMember', 'CurrentYearInstant_PreferredSharesType5Member', 'CurrentYearInstant_PreferredStockMember', 'CurrentYearInstant_SecondIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_SecondIssueOfClassSixPreferredSharesMember', 'CurrentYearInstant_SecondPreferredStockMember', 'CurrentYearInstant_Series1NonConvertiblePreferredStockMember', 'CurrentYearInstant_Series1PreferredStockMember', 'CurrentYearInstant_Series2ClassAPreferredStockMember', 'CurrentYearInstant_SeriesFourPreferredSharesMember', 'CurrentYearInstant_SeriesThreePreferredSharesMember', 'CurrentYearInstant_SeriesTwoPreferredSharesMember', 'CurrentYearInstant_SpecificCommonSharesMember', 'CurrentYearInstant_TheSecondKindPreferredStocksMember', 'RecordDateInstant_OrdinaryShareMember']",34,"['数字', '文字列']"
株主数－計,4042,4042,100,"['CurrentYearInstant_BondTypeClassSharesMember', 'CurrentYearInstant_ClassAPreferredShares2Member', 'CurrentYearInstant_ClassAPreferredSharesMember', 'CurrentYearInstant_ClassASharesMember', 'CurrentYearInstant_ClassAStockMember', 'CurrentYearInstant_ClassBPreferredSharesMember', 'CurrentYearInstant_ClassBSharesMember', 'CurrentYearInstant_ClassCPreferredSharesMember', 'CurrentYearInstant_ClassCSharesMember', 'CurrentYearInstant_ClassDPreferredSharesMember', 'CurrentYearInstant_ClassEPreferredSharesMember', 'CurrentYearInstant_ClassFPreferredSharesMember', 'CurrentYearInstant_ClassOnePreferredShareMember', 'CurrentYearInstant_ClassOnePreferredSharesMember', 'CurrentYearInstant_ClassTwoPreferredSharesMember', 'CurrentYearInstant_FirstIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_FirstSeriesOfFirstClassPreferredSharesMember', 'CurrentYearInstant_FourthClassPreferredStockMember', 'CurrentYearInstant_KClassifiedStockMember', 'CurrentYearInstant_OrdinaryShareMember', 'CurrentYearInstant_PreferredSharesType5Member', 'CurrentYearInstant_PreferredStockMember', 'CurrentYearInstant_SecondIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_SecondIssueOfClassSixPreferredSharesMember', 'CurrentYearInstant_SecondPreferredStockMember', 'CurrentYearInstant_Series1NonConvertiblePreferredStockMember', 'CurrentYearInstant_Series1PreferredStockMember', 'CurrentYearInstant_Series2ClassAPreferredStockMember', 'CurrentYearInstant_SeriesFourPreferredSharesMember', 'CurrentYearInstant_SeriesThreePreferredSharesMember', 'CurrentYearInstant_SeriesTwoPreferredSharesMember', 'CurrentYearInstant_SpecificCommonSharesMember', 'CurrentYearInstant_TheSecondKindPreferredStocksMember', 'RecordDateInstant_OrdinaryShareMember']",34,"['数字', '文字列']"
株主数－金融商品取引業者,4042,4042,100,"['CurrentYearInstant_BondTypeClassSharesMember', 'CurrentYearInstant_ClassAPreferredShares2Member', 'CurrentYearInstant_ClassAPreferredSharesMember', 'CurrentYearInstant_ClassASharesMember', 'CurrentYearInstant_ClassAStockMember', 'CurrentYearInstant_ClassBPreferredSharesMember', 'CurrentYearInstant_ClassBSharesMember', 'CurrentYearInstant_ClassCPreferredSharesMember', 'CurrentYearInstant_ClassCSharesMember', 'CurrentYearInstant_ClassDPreferredSharesMember', 'CurrentYearInstant_ClassEPreferredSharesMember', 'CurrentYearInstant_ClassFPreferredSharesMember', 'CurrentYearInstant_ClassOnePreferredShareMember', 'CurrentYearInstant_ClassOnePreferredSharesMember', 'CurrentYearInstant_ClassTwoPreferredSharesMember', 'CurrentYearInstant_FirstIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_FirstSeriesOfFirstClassPreferredSharesMember', 'CurrentYearInstant_FourthClassPreferredStockMember', 'CurrentYearInstant_KClassifiedStockMember', 'CurrentYearInstant_OrdinaryShareMember', 'CurrentYearInstant_PreferredSharesType5Member', 'CurrentYearInstant_PreferredStockMember', 'CurrentYearInstant_SecondIssueOfClassSevenPreferredSharesMember', 'CurrentYearInstant_SecondIssueOfClassSixPreferredSharesMember', 'CurrentYearInstant_SecondPreferredStockMember', 'CurrentYearInstant_Series1NonConvertiblePreferredStockMember', 'CurrentYearInstant_Series1PreferredStockMember', 'CurrentYearInstant_Series2ClassAPreferredStockMember', 'CurrentYearInstant_SeriesFourPreferredSharesMember', 'CurrentYearInstant_SeriesThreePreferredSharesMember', 'CurrentYearInstant_SeriesTwoPreferredSharesMember', 'CurrentYearInstant_SpecificCommonSharesMember', 'CurrentYearInstant_TheSecondKindPreferredStocksMember', 'RecordDateInstant_OrdinaryShareMember']",34,"['数字', '文字列']"
縦覧に供する場所、表紙 [テキストブロック],4042,4042,100,['FilingDateInstant'],1,['文字列']
その他の参考情報 [テキストブロック],4042,4042,100,['FilingDateInstant'],1,['文字列']
