docID,edinetCode,secCode,filerName,formCode,submitDateTime,docTypeCode,submitDateTime,docDescription,pdfFlag,csvFlag
S100TKA9,E01435,59900,株式会社スーパーツール,030000,2024-06-07 13:40:00,120.0,2024-06-07 13:40:00,有価証券報告書－第64期(2023/03/16－2024/03/15),1,1
S100TKQK,E03575,83660,株式会社滋賀銀行,030000,2024-06-11 10:05:00,120.0,2024-06-11 10:05:00,有価証券報告書－第137期(2023/04/01－2024/03/31),1,1
S100TLCL,E03814,86970,株式会社日本取引所グループ,030000,2024-06-12 09:55:00,120.0,2024-06-12 09:55:00,有価証券報告書－第23期(2023/04/01－2024/03/31),1,1
S100TLBC,E02692,82850,三谷産業株式会社,030000,2024-06-12 10:43:00,120.0,2024-06-12 10:43:00,有価証券報告書－第99期(2023/04/01－2024/03/31),1,1
S100TLQX,E03356,26640,株式会社カワチ薬品,030000,2024-06-13 10:00:00,120.0,2024-06-13 10:00:00,有価証券報告書－第57期(2023/03/16－2024/03/15),1,1
S100TLCC,E03072,81900,株式会社ヤマナカ,030000,2024-06-13 10:24:00,120.0,2024-06-13 10:24:00,有価証券報告書－第67期(2023/03/21－2024/03/20),1,1
S100TLRE,E27016,49290,株式会社アジュバンホールディングス,030000,2024-06-13 12:57:00,120.0,2024-06-13 12:57:00,有価証券報告書－第35期(2023/03/21－2024/03/20),1,1
S100TLOP,E03202,99500,株式会社ハチバン,030000,2024-06-13 13:15:00,120.0,2024-06-13 13:15:00,有価証券報告書－第54期(2023/03/21－2024/03/20),1,1
S100TLTQ,E01898,69950,株式会社東海理化電機製作所,030000,2024-06-13 13:43:00,120.0,2024-06-13 13:43:00,有価証券報告書－第77期(2023/04/01－2024/03/31),1,1
S100TLRO,E00601,81140,株式会社デサント,030000,2024-06-13 14:41:00,120.0,2024-06-13 14:41:00,有価証券報告書－第67期(2023/04/01－2024/03/31),1,1
S100TLJA,E04460,94360,沖縄セルラー電話株式会社,030000,2024-06-13 15:03:00,120.0,2024-06-13 15:03:00,有価証券報告書－第33期(2023/04/01－2024/03/31),1,1
S100TLR0,E03851,87950,株式会社Ｔ＆Ｄホールディングス,030000,2024-06-13 16:10:00,120.0,2024-06-13 16:10:00,有価証券報告書－第20期(2023/04/01－2024/03/31),1,1
S100TLL3,E00775,40620,イビデン株式会社,030000,2024-06-13 16:30:00,120.0,2024-06-13 16:30:00,有価証券報告書－第171期(2023/04/01－2024/03/31),1,1
S100TLSA,E37206,42620,ニフティライフスタイル株式会社,030000,2024-06-13 16:44:00,120.0,2024-06-13 16:44:00,有価証券報告書－第7期(2023/04/01－2024/03/31),1,1
